node,p0_core20_temp,p1_core10_temp,total_power,cpu_user,minimum_rows,total_rows
830,2517,2517,2517,558,558,8109
793,2517,2517,2517,558,558,8109
737,2517,2517,2517,558,558,8109
750,2517,2517,2517,558,558,8109
33,2517,2517,2517,558,558,8109
34,2517,2517,2517,558,558,8109
39,2517,2517,2517,558,558,8109
61,2517,2517,2517,558,558,8109
72,2517,2517,2517,558,558,8109
263,2517,2517,2517,558,558,8109
172,2517,2517,2517,558,558,8109
179,2517,2517,2517,558,558,8109
185,2517,2517,2517,558,558,8109
104,2517,2517,2517,558,558,8109
105,2517,2517,2517,558,558,8109
127,2517,2517,2517,558,558,8109
310,2517,2517,2517,558,558,8109
410,2517,2517,2517,558,558,8109
347,2517,2517,2517,558,558,8109
411,2517,2517,2517,558,558,8109
412,2517,2517,2517,558,558,8109
421,2517,2517,2517,558,558,8109
496,2517,2517,2517,558,558,8109
330,2517,2517,2517,558,558,8109
623,2517,2517,2517,558,558,8109
627,2517,2517,2517,558,558,8109
444,2517,2517,2517,558,558,8109
449,2517,2517,2517,558,558,8109
647,2517,2517,2517,558,558,8109
679,2517,2517,2517,558,558,8109
683,2517,2517,2517,558,558,8109
694,2517,2517,2517,558,558,8109
820,2517,2517,2517,558,558,8109
710,2517,2517,2517,558,558,8109
712,2517,2517,2517,558,558,8109
903,2517,2517,2517,558,558,8109
639,2517,2517,2517,558,558,8109
640,2517,2517,2517,558,558,8109
766,2517,2517,2517,558,558,8109
924,2517,2517,2517,558,558,8109
943,2517,2517,2517,558,558,8109
954,2517,2517,2517,558,558,8109
955,2517,2517,2517,558,558,8109
791,2517,2517,2517,558,558,8109
51,2517,2517,2517,558,558,8109
931,2517,2517,2517,558,558,8109
270,2517,2517,2517,558,558,8109
520,2517,2517,2517,558,558,8109
248,2517,2517,2517,558,558,8109
431,2517,2517,2517,558,558,8109
434,2517,2517,2517,558,558,8109
12,2517,2517,2517,558,558,8109
613,2517,2517,2517,558,558,8109
673,2517,2517,2517,558,558,8109
730,2517,2517,2517,558,558,8109
731,2517,2517,2517,558,558,8109
958,2517,2517,2517,558,558,8109
964,2517,2517,2517,558,558,8109
24,2517,2517,2517,558,558,8109
25,2517,2517,2517,558,558,8109
216,2516,2516,2516,558,558,8106
268,2516,2516,2516,558,558,8106
244,2516,2516,2516,558,558,8106
211,2515,2515,2515,558,558,8103
359,2515,2515,2515,558,558,8103
966,2514,2514,2514,558,558,8100
102,2513,2513,2513,558,558,8097
285,2517,2517,2517,557,557,8108
291,2517,2517,2517,557,557,8108
794,2517,2517,2517,557,557,8108
800,2517,2517,2517,557,557,8108
811,2517,2517,2517,557,557,8108
744,2517,2517,2517,557,557,8108
256,2517,2517,2517,557,557,8108
145,2517,2517,2517,557,557,8108
146,2517,2517,2517,557,557,8108
150,2517,2517,2517,557,557,8108
93,2517,2517,2517,557,557,8108
125,2517,2517,2517,557,557,8108
312,2517,2517,2517,557,557,8108
158,2517,2517,2517,557,557,8108
168,2517,2517,2517,557,557,8108
308,2517,2517,2517,557,557,8108
334,2517,2517,2517,557,557,8108
413,2517,2517,2517,557,557,8108
493,2517,2517,2517,557,557,8108
445,2517,2517,2517,557,557,8108
466,2517,2517,2517,557,557,8108
591,2517,2517,2517,557,557,8108
662,2517,2517,2517,557,557,8108
675,2517,2517,2517,557,557,8108
718,2517,2517,2517,557,557,8108
895,2517,2517,2517,557,557,8108
897,2517,2517,2517,557,557,8108
582,2517,2517,2517,557,557,8108
780,2517,2517,2517,557,557,8108
782,2517,2517,2517,557,557,8108
946,2517,2517,2517,557,557,8108
968,2517,2517,2517,557,557,8108
756,2517,2517,2517,557,557,8108
759,2517,2517,2517,557,557,8108
407,2517,2517,2517,557,557,8108
853,2517,2517,2517,557,557,8108
84,2517,2517,2517,557,557,8108
529,2517,2517,2517,557,557,8108
456,2517,2517,2517,557,557,8108
698,2517,2517,2517,557,557,8108
736,2517,2517,2517,557,557,8108
243,2516,2516,2516,557,557,8105
896,2515,2515,2515,557,557,8102
260,2513,2513,2513,557,557,8096
178,2513,2513,2513,557,557,8096
387,2517,2517,2517,556,556,8107
806,2517,2517,2517,556,556,8107
746,2517,2517,2517,556,556,8107
174,2517,2517,2517,556,556,8107
313,2517,2517,2517,556,556,8107
164,2517,2517,2517,556,556,8107
425,2517,2517,2517,556,556,8107
590,2517,2517,2517,556,556,8107
825,2517,2517,2517,556,556,8107
969,2517,2517,2517,556,556,8107
755,2517,2517,2517,556,556,8107
4,2517,2517,2517,556,556,8107
10,2517,2517,2517,556,556,8107
960,2517,2517,2517,556,556,8107
537,2517,2517,2517,556,556,8107
538,2517,2517,2517,556,556,8107
287,2516,2516,2516,556,556,8104
715,2518,2518,2517,555,555,8108
392,2517,2517,2517,555,555,8106
500,2517,2517,2517,555,555,8106
139,2517,2517,2517,555,555,8106
725,2517,2517,2517,555,555,8106
528,2517,2517,2517,555,555,8106
671,2517,2517,2517,555,555,8106
189,2516,2516,2516,555,555,8103
804,2517,2517,2517,554,554,8105
686,2517,2517,2517,554,554,8105
948,2517,2517,2517,554,554,8105
482,2517,2517,2517,554,554,8105
910,2517,2517,2517,554,554,8105
271,2516,2516,2516,554,554,8102
32,2517,2517,2517,553,553,8104
71,2517,2517,2517,549,549,8100
112,203,203,203,558,203,1167
521,6,6,6,1,1,19
