feature,importance,absolute_importance
cpu_socket_power_lag_1,-1.8011676945667114,1.8011676945667114
cpu_socket_power_roll_mean_3,-1.7933679966907847,1.7933679966907847
cpu_socket_power_lag_2,-1.7840539072385289,1.7840539072385289
load_fifteen_lag_10,1.6919494341352652,1.6919494341352652
cpu_busy_lag_10,-1.6682759812969707,1.6682759812969707
cpu_socket_power,-1.6214737874256355,1.6214737874256355
p1_vdd_temp_lag_1,1.6172218477454339,1.6172218477454339
cpu_idle_lag_10,1.6143706452439475,1.6143706452439475
p0_vdd_temp_lag_5,-1.5481379883617898,1.5481379883617898
total_power_delta_1,1.3760444851167761,1.3760444851167761
load_five_lag_5,1.3563185356600695,1.3563185356600695
load_one_roll_mean_10,-1.3498106067986055,1.3498106067986055
cpu_system,1.3005925056564498,1.3005925056564498
cpu_socket_power_lag_5,-1.279221726865559,1.279221726865559
cpu_busy,-1.2326840894969515,1.2326840894969515
cpu_temp_max_lag_5,1.1915273063776213,1.1915273063776213
load_five_lag_2,1.1872886648802268,1.1872886648802268
cpu_user,-1.1359179297212578,1.1359179297212578
load_five_lag_1,-1.126525304691338,1.126525304691338
load_one_roll_mean_3,-1.1163399889520795,1.1163399889520795
cpu_idle,1.1125975932811305,1.1125975932811305
cpu_busy_roll_std_3,1.0997306501138042,1.0997306501138042
cpu_socket_power_roll_std_5,-0.9320858467029884,0.9320858467029884
load_five,-0.9134344688370928,0.9134344688370928
p1_power_lag_5,0.8655221465255643,0.8655221465255643
cpu_socket_power_roll_mean_10,-0.8416910630268035,0.8416910630268035
cpu_busy_delta_1,0.8415264680886416,0.8415264680886416
cpu_socket_power_delta_5,-0.7700300014620949,0.7700300014620949
p0_power_lag_10,-0.6738367966429283,0.6738367966429283
cpu_temp_max_delta_1,0.658945574110181,0.658945574110181
load_one_roll_std_3,0.6109461354911265,0.6109461354911265
load_one_delta_5,-0.5691180939056012,0.5691180939056012
load_one_roll_mean_5,-0.5381971384365842,0.5381971384365842
cpu_temp_max_roll_std_10,-0.47309146401616087,0.47309146401616087
p0_power_lag_2,0.4589056607788451,0.4589056607788451
cpu_temp_max_roll_std_3,-0.44416822261627004,0.44416822261627004
cpu_temp_max_roll_mean_3,0.43948877262294667,0.43948877262294667
cpu_socket_power_delta_1,0.4105769930572011,0.4105769930572011
node_119,-0.3555445850621912,0.3555445850621912
cpu_temp_max_roll_mean_5,-0.2579114734351838,0.2579114734351838
load_one_delta_1,-0.17241858295005752,0.17241858295005752
cpu_temp_mean_delta_1,-0.16587120747123998,0.16587120747123998
cpu_busy_lag_1,0.1586316957694982,0.1586316957694982
node_123,0.09513704413466763,0.09513704413466763
cpu_idle_lag_1,0.06277495865844293,0.06277495865844293
p1_power_lag_1,-0.04636595240825621,0.04636595240825621
cpu_wio,0.0,0.0
cpu_speed,0.0,0.0
